owner,nftMint,stakedDate
12pgzUprm4TTz4V8yE5N62cS2ecwS38tY6KGuB1mdzRf,DGcBTXdrk8xJfcbDy7d7KdRhoLi6BFNZTEDazkepsGE8,1701348306
12TagUrvoWFY3YXbGodwiXPBWKoRDbhSTqzDtrn3dnMe,FTAJfU3dfxnRkr4QF6FjPYXKSHdpJ4AFVQpDgBqV6aoH,1708798954
134ZPka5DRrJWnZVZn3DgjYfWPUeY4BVRKG4ootQNn1X,F3MKypwE56i2cqr9MDUuYZ3j3238BJ2mGdWS9VT1pue1,1694017343
13CHTDMsTPRpd9q2gfzwAGNQK1t319jeLCK8SbXvQSnT,2LthW2EXu8uSKFY8PFh62QC651UPq8NRtBJWMiio5yQ1,1701121740
13DaUC8Qr4qUDgCFyDm3VVHaz6dsBLPumMUPg9oyTS6U,HRjA5C4Z6XpmVQfAT3bdYiZzwRFwvPacygXYiShu8v6Z,1702083641
13DaUC8Qr4qUDgCFyDm3VVHaz6dsBLPumMUPg9oyTS6U,JCJvu6krQbgDT6UxsJKLNhyUauEccfA5Y8PCnG7j4qGs,1702964585
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,CJbhEgXESCq49TeQhLS7RwSPwaJBJoZXgYKAqt6mbu2M,1703344969
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,8nSrYdiT6ccxMGkDrt72SBw1ptJdi9k3dwk5ewpkhRiH,1703344969
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,93A4gRXfHDFUULYfeVXTdyaqdQ5LyMvPr2jSdMmXC3bk,1703344969
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,FTcDe2D6nYcrrSHdcsZSz3U4hdDHoLnpoc5YjmmvsX2g,1703344969
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,5iiRKxM2dKMc7UuyhneFvw5KUvNa2LnNXkfKFK85q2jD,1703344969
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,Go7FPcq89ZEPYDTYKgVvsQEhDdLzb9p1SY3Ch6wx1MHD,1703344996
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,37L4YCLVVYKgyY1oWy2ZVNM86TgmDNbTPHaaCShrz4QJ,1703344996
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,AYADNr9vXoke6v8Rz72x8LimmbUHCgxUXs6cNVCU9xRY,1703344996
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,GBjqPgdHkGRNzjdgrm5AyDwKiNAdQPat1mmQnFaP5xhh,1703345111
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,7BzBJeovke1gq8x1H1FkXwDhvpxyuxzb7fWq3DYuru7M,1703345111
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,77EdEHMNzwn6qXFYuHVKi5CTzvf59DLBEu2Vq1BKPpft,1703345111
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,Dak8AZwmmc8DYUyXHy5YCpWokuBuJjrctWkjLmN4W7of,1703345111
14Rc89JyUskByj21r7hbsNFKB7Z5isV3xMwPMnozHydY,mBndZr6UME1qboKgfbRe9ffEvDvHj53YBV23RogAKqo,1703345111
